,E,F,HC,U,IT,CD,CS,M,I,RE
0,8.0,3.6,2.0,,5.333333333333333,6.666666666666667,5.4,9.0,5.2,12.0
1,6.0,3.8,2.0,,4.0,7.333333333333333,4.8,11.0,5.2,9.0
2,9.0,3.6,2.0,,6.0,6.666666666666667,5.4,12.0,6.8,12.0
3,8.0,3.6,2.0,,5.333333333333333,5.333333333333333,5.0,6.0,5.4,11.0
4,8.0,3.6,2.0,,4.0,6.0,5.2,9.0,5.6,12.0
5,6.0,3.6,2.0,,5.333333333333333,5.333333333333333,5.4,9.0,6.0,9.0
6,7.0,3.6,2.0,,6.666666666666667,6.666666666666667,4.4,11.0,5.4,12.0
7,7.0,3.6,4.0,,4.666666666666667,6.666666666666667,5.2,10.0,5.2,11.0
8,6.0,3.6,2.0,,5.333333333333333,7.333333333333333,4.4,11.0,5.2,9.0
9,8.0,3.6,2.0,,5.333333333333333,7.333333333333333,5.0,9.0,5.8,12.0
(average),7.3,3.62,2.2,,5.2,6.533333333333333,5.0200000000000005,9.7,5.58,10.9
single,5.0,3.6,12.0,,6.666666666666667,10.0,8.2,17.0,9.6,7.0
average,5.0,3.6,2.0,,4.666666666666667,8.666666666666666,7.0,14.0,7.6,2.0
complete,3.0,3.8,2.0,,6.0,6.666666666666667,7.0,7.0,5.0,2.0
