,E,F,HC,U,IT,CD,CS,M,I,RE
0,2.0,13.311111111111112,5.535714285714286,2.0,9.238095238095237,10.333333333333334,3.8333333333333335,9.333333333333334,6.214285714285714,8.857142857142858
1,2.0,11.488888888888889,5.107142857142857,2.0,7.809523809523809,10.277777777777779,4.666666666666667,5.333333333333333,9.678571428571429,7.523809523809524
2,4.0,12.311111111111112,5.678571428571429,2.0,8.476190476190476,10.38888888888889,3.6666666666666665,10.0,7.071428571428571,5.428571428571429
3,2.0,9.666666666666666,5.107142857142857,2.0,5.523809523809524,8.88888888888889,4.166666666666667,6.666666666666667,6.964285714285714,5.142857142857143
4,2.0,11.2,4.857142857142857,2.0,7.523809523809524,10.0,3.6666666666666665,12.666666666666666,7.285714285714286,8.285714285714286
5,15.0,10.755555555555556,5.357142857142857,2.0,8.761904761904763,9.555555555555555,4.333333333333333,10.0,7.857142857142857,5.523809523809524
6,2.0,11.466666666666667,5.821428571428571,2.0,8.666666666666666,8.722222222222221,3.6666666666666665,12.666666666666666,6.214285714285714,7.714285714285714
7,2.0,10.688888888888888,5.035714285714286,2.0,7.523809523809524,7.888888888888889,5.333333333333333,12.666666666666666,6.892857142857143,5.142857142857143
8,10.0,13.511111111111111,5.821428571428571,2.0,10.761904761904763,10.88888888888889,4.666666666666667,10.666666666666666,7.75,9.238095238095237
9,2.0,10.955555555555556,5.035714285714286,2.0,8.0,8.722222222222221,3.6666666666666665,10.0,10.0,6.857142857142857
(average),4.3,11.535555555555556,5.335714285714285,2.0,8.22857142857143,9.566666666666666,4.166666666666666,10.000000000000002,7.592857142857143,6.971428571428572
single,7.0,12.933333333333334,13.035714285714286,2.0,13.142857142857142,17.11111111111111,10.666666666666666,16.666666666666668,7.571428571428571,7.523809523809524
average,2.0,11.133333333333333,7.5,2.0,9.047619047619047,12.222222222222221,8.166666666666666,11.333333333333334,7.5,10.666666666666666
complete,3.0,9.311111111111112,5.857142857142857,2.0,7.523809523809524,9.777777777777779,6.666666666666667,7.333333333333333,10.464285714285714,8.380952380952381
