,E,F,HC,U,IT,CD,CS,M,I,RE
0,2.0,9.866666666666667,5.857142857142857,2.0,11.142857142857142,8.88888888888889,6.666666666666667,15.333333333333334,6.678571428571429,6.095238095238095
1,2.0,11.666666666666666,5.392857142857143,2.0,10.285714285714286,8.777777777777779,6.166666666666667,7.333333333333333,7.892857142857143,5.809523809523809
2,2.0,11.377777777777778,5.642857142857143,2.0,9.80952380952381,9.055555555555555,5.166666666666667,9.333333333333334,8.142857142857142,6.9523809523809526
3,2.0,12.8,5.642857142857143,2.0,11.523809523809524,8.88888888888889,7.166666666666667,9.333333333333334,7.357142857142857,6.380952380952381
4,2.0,9.155555555555555,5.928571428571429,2.0,10.19047619047619,10.166666666666666,5.166666666666667,10.0,6.821428571428571,7.238095238095238
5,2.0,8.422222222222222,6.142857142857143,2.0,12.19047619047619,8.444444444444445,3.6666666666666665,16.666666666666668,9.071428571428571,7.523809523809524
6,2.0,10.155555555555555,5.785714285714286,2.0,11.238095238095237,9.0,5.666666666666667,13.333333333333334,9.392857142857142,7.809523809523809
7,2.0,12.022222222222222,5.75,2.0,10.19047619047619,9.944444444444445,6.166666666666667,9.333333333333334,8.535714285714286,5.809523809523809
8,2.0,10.911111111111111,6.964285714285714,2.0,9.904761904761905,10.88888888888889,3.6666666666666665,10.666666666666666,6.892857142857143,8.0
9,2.0,11.377777777777778,5.0,2.0,9.142857142857142,10.777777777777779,5.166666666666667,10.666666666666666,7.071428571428571,5.523809523809524
(average),2.0,10.775555555555556,5.810714285714286,2.0,10.561904761904762,9.483333333333334,5.466666666666666,11.2,7.7857142857142865,6.714285714285715
single,7.0,12.933333333333334,13.035714285714286,2.0,13.142857142857142,17.11111111111111,10.666666666666666,16.666666666666668,7.571428571428571,7.523809523809524
average,2.0,11.133333333333333,7.5,2.0,9.047619047619047,12.222222222222221,8.166666666666666,11.333333333333334,7.5,10.666666666666666
complete,3.0,9.311111111111112,5.857142857142857,2.0,7.523809523809524,9.777777777777779,6.666666666666667,7.333333333333333,10.464285714285714,8.380952380952381
