,E,F,HC,U,IT,CD,CS,M,I,RE
0,8.0,4.333333333333333,5.333333333333333,2.0,8.6,6.866666666666666,5.6,13.0,7.809523809523809,11.0
1,8.0,4.266666666666667,5.333333333333333,2.0,7.6,7.333333333333333,6.8,12.0,6.571428571428571,11.0
2,16.0,3.933333333333333,6.666666666666667,2.0,5.4,7.333333333333333,6.2,14.0,8.285714285714286,10.0
3,10.0,4.333333333333333,5.333333333333333,2.0,7.2,6.533333333333333,7.2,11.0,8.571428571428571,11.0
4,9.0,4.0,4.0,2.0,5.2,6.8,5.6,18.0,7.809523809523809,12.0
5,7.0,4.0,6.0,2.0,6.0,6.533333333333333,7.2,11.0,8.666666666666666,11.0
6,12.0,3.933333333333333,8.0,2.0,4.8,7.666666666666667,8.4,11.0,8.0,10.0
7,9.0,3.933333333333333,5.333333333333333,2.0,8.2,6.533333333333333,5.2,12.0,7.238095238095238,11.0
8,13.0,3.933333333333333,6.0,2.0,7.8,7.866666666666666,6.2,14.0,8.095238095238095,12.0
9,13.0,3.933333333333333,8.0,2.0,5.6,7.066666666666666,6.0,15.0,8.0,11.0
(average),10.5,4.06,6.0,2.0,6.639999999999999,7.053333333333332,6.44,13.1,7.904761904761903,11.0
single,8.0,4.333333333333333,16.0,2.0,9.8,10.666666666666666,10.0,20.0,12.666666666666666,9.0
average,4.0,4.0,11.333333333333334,2.0,8.6,8.466666666666667,8.4,15.0,9.428571428571429,2.0
complete,7.0,4.0,2.6666666666666665,2.0,6.8,6.933333333333334,7.2,7.0,6.9523809523809526,2.0
