,E,F,HC,U,IT,CD,CS,M,I,RE
0,,10.071428571428571,4.166666666666667,2.0,8.285714285714286,9.107142857142858,4.666666666666667,11.333333333333334,7.933333333333334,8.095238095238095
1,,7.928571428571429,5.666666666666667,2.0,9.333333333333334,8.285714285714286,5.166666666666667,10.666666666666666,7.666666666666667,6.0
2,,10.071428571428571,3.6666666666666665,2.0,9.333333333333334,8.75,5.666666666666667,14.0,8.6,5.523809523809524
3,,7.928571428571429,5.166666666666667,2.0,9.80952380952381,9.964285714285714,7.166666666666667,13.333333333333334,9.4,6.666666666666667
4,,7.928571428571429,3.1666666666666665,2.0,10.095238095238095,10.785714285714286,8.166666666666666,9.333333333333334,8.933333333333334,5.523809523809524
5,,11.785714285714286,5.666666666666667,2.0,10.19047619047619,10.107142857142858,6.166666666666667,12.666666666666666,6.266666666666667,6.285714285714286
6,,8.785714285714286,5.666666666666667,2.0,10.476190476190476,10.285714285714286,5.166666666666667,6.0,7.666666666666667,6.666666666666667
7,,11.785714285714286,3.6666666666666665,2.0,8.095238095238095,9.678571428571429,8.666666666666666,11.333333333333334,9.533333333333333,6.380952380952381
8,,8.785714285714286,4.666666666666667,2.0,8.476190476190476,10.285714285714286,5.666666666666667,14.666666666666666,8.933333333333334,6.571428571428571
9,,10.071428571428571,3.1666666666666665,2.0,8.285714285714286,8.571428571428571,4.666666666666667,10.0,5.933333333333334,6.9523809523809526
(average),,9.514285714285716,4.466666666666667,2.0,9.238095238095239,9.582142857142859,6.116666666666665,11.333333333333334,8.086666666666668,6.466666666666666
single,,12.535714285714286,9.0,2.0,11.619047619047619,16.285714285714285,9.166666666666666,14.0,9.6,7.809523809523809
average,,13.5,5.666666666666667,2.0,8.666666666666666,11.214285714285714,7.666666666666667,11.333333333333334,7.866666666666666,10.380952380952381
complete,,9.535714285714286,6.666666666666667,2.0,6.476190476190476,9.75,6.166666666666667,8.0,7.533333333333333,7.809523809523809
