,E,F,HC,U,IT,CD,CS,M,I,RE
0,9.0,4.9523809523809526,3.6,2.0,8.964285714285714,8.0,4.866666666666666,11.333333333333334,8.857142857142858,18.0
1,7.0,4.571428571428571,3.6,2.0,8.107142857142858,8.214285714285714,4.533333333333333,11.333333333333334,8.666666666666666,11.0
2,11.0,4.9523809523809526,3.6,2.0,6.25,7.714285714285714,5.2,8.666666666666666,7.809523809523809,12.0
3,10.0,4.476190476190476,3.6,2.0,7.071428571428571,6.642857142857143,4.933333333333334,10.0,7.523809523809524,14.0
4,10.0,4.571428571428571,5.2,2.0,6.928571428571429,8.785714285714286,5.266666666666667,10.666666666666666,8.0,15.0
5,9.0,4.571428571428571,3.6,2.0,6.821428571428571,8.285714285714286,5.866666666666666,10.0,8.19047619047619,14.0
6,11.0,4.380952380952381,3.6,2.0,7.214285714285714,7.5,5.133333333333334,9.333333333333334,7.142857142857143,13.0
7,13.0,4.666666666666667,3.6,2.0,7.964285714285714,7.607142857142857,7.133333333333334,11.333333333333334,9.428571428571429,17.0
8,9.0,4.571428571428571,3.6,2.0,6.678571428571429,8.392857142857142,6.2,10.666666666666666,8.0,9.0
9,9.0,4.571428571428571,3.6,2.0,6.714285714285714,7.785714285714286,7.133333333333334,10.0,6.9523809523809526,14.0
(average),9.8,4.628571428571428,3.7600000000000007,2.0,7.2714285714285705,7.892857142857143,5.626666666666667,10.333333333333332,8.057142857142857,13.7
single,8.0,4.857142857142857,17.8,2.0,12.821428571428571,11.214285714285714,14.533333333333333,18.0,15.428571428571429,10.0
average,9.0,4.571428571428571,5.2,2.0,9.642857142857142,10.0,8.266666666666667,12.666666666666666,10.19047619047619,2.0
complete,6.0,4.476190476190476,3.6,2.0,7.107142857142857,9.392857142857142,6.266666666666667,7.333333333333333,8.0,2.0
