,E,F,HC,U,IT,CD,CS,M,I,RE
0,,12.642857142857142,4.166666666666667,2.0,8.476190476190476,9.5,3.6666666666666665,8.666666666666666,8.933333333333334,6.380952380952381
1,,13.071428571428571,4.666666666666667,2.0,8.857142857142858,11.642857142857142,4.833333333333333,6.666666666666667,7.266666666666667,5.523809523809524
2,,10.928571428571429,3.6666666666666665,2.0,7.238095238095238,7.428571428571429,4.666666666666667,2.6666666666666665,6.666666666666667,4.857142857142857
3,,12.214285714285714,3.6666666666666665,2.0,8.0,8.928571428571429,4.0,8.666666666666666,8.666666666666666,5.714285714285714
4,,12.642857142857142,3.6666666666666665,2.0,8.0,8.857142857142858,4.833333333333333,9.333333333333334,7.8,8.095238095238095
5,,11.785714285714286,4.166666666666667,2.0,8.19047619047619,10.035714285714286,3.8333333333333335,9.333333333333334,6.2,9.428571428571429
6,,11.785714285714286,3.6666666666666665,2.0,8.476190476190476,8.571428571428571,4.166666666666667,4.0,8.866666666666667,4.9523809523809526
7,,10.928571428571429,3.6666666666666665,2.0,8.285714285714286,8.214285714285714,5.333333333333333,8.666666666666666,5.733333333333333,5.238095238095238
8,,13.5,3.1666666666666665,2.0,8.285714285714286,8.571428571428571,4.166666666666667,6.0,8.533333333333333,8.285714285714286
9,,11.785714285714286,3.6666666666666665,2.0,8.380952380952381,9.75,5.166666666666667,8.0,4.866666666666666,5.142857142857143
(average),,12.12857142857143,3.8166666666666673,2.0,8.219047619047618,9.15,4.466666666666667,7.2,7.3533333333333335,6.361904761904762
single,,12.535714285714286,9.0,2.0,11.619047619047619,16.285714285714285,9.166666666666666,14.0,9.6,7.809523809523809
average,,13.5,5.666666666666667,2.0,8.666666666666666,11.214285714285714,7.666666666666667,11.333333333333334,7.866666666666666,10.380952380952381
complete,,9.535714285714286,6.666666666666667,2.0,6.476190476190476,9.75,6.166666666666667,8.0,7.533333333333333,7.809523809523809
